Substance,Macro-region,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GWP_100_AR5_CH4,Middle East,Fires,0.173458693,0.328765815,0.10945372,0.11464418,0.348342442,0.348342442,0.496352945,0.104421705,0.480221913,0.277364445,0.251942131,0.267778659,0.074832313,0.048337614,0.061456386,0.062469914,0.048032242,0.074990039,0.042316677,0.035788862,0.176484605,0.05983668,0.047988264,0.043724444,0.070274811,0.080201255,0.096920576,0.061708878,0.052692703,0.944760363,0.306834696,0.077079371,0.032787824
GWP_100_AR5_CO2,Middle East,Fires,2.561970125,5.466492132,1.772776387,2.24350844,4.919605129,4.919605129,7.072149402,1.66995289,6.892726136,4.382574368,3.298689701,3.909361218,0.962833088,0.642183029,0.843420293,0.975338636,0.742909003,0.882350637,0.214638674,0.208238333,1.588507716,1.063380822,0.388804696,0.604089266,1.123158102,0.770506497,1.259964566,0.950485493,0.471160865,21.11436877,3.893634986,1.024841702,0.33019562
GWP_100_AR5_N2O,Middle East,Fires,0.121606409,0.239882305,0.07810445,0.097368858,0.222739085,0.222739085,0.322153883,0.074086971,0.307717943,0.198332466,0.166400591,0.185786859,0.064664878,0.041770004,0.049479754,0.053448771,0.041506122,0.061988791,0.03647015,0.030926244,0.126854836,0.051027844,0.028833935,0.037395707,0.060726602,0.068625493,0.083073167,0.050463646,0.044854517,0.815975718,0.260841708,0.062000139,0.024502296
GWP_100_AR5_CO2,Middle East,Forest Land,-11.82528719,-10.91364976,-10.83040704,-10.44005806,-10.27719341,-10.03787868,-10.04492659,-9.471592156,-9.705853331,-9.797691424,-9.694731736,-9.711735941,-10.38959003,-9.838644213,-9.856104447,-9.782455233,-9.585864809,-9.304705878,-9.061170534,-8.944925289,-9.020876209,-8.935939291,-8.630828978,-8.474899506,-8.357735846,-8.765004625,-8.984837649,-8.836351945,-8.719016709,-8.576866506,-8.902410363,-8.901576974,-8.311671412
GWP_100_AR5_CO2,Middle East,Other Land,-0.95513,-0.95513,-0.95513,-0.95513,-0.95513,-0.95513,-0.95513,-0.95513,-0.95513,-0.95513,-0.95513,-1.16271,-1.16261,-1.08487,-1.1113,-1.02542,-1.03642,-1.11845,-0.97609,-0.95382,-0.95214,-0.86196,-0.7844,-1.03707,-1.1193,-1.11766,-1.15199,-1.17058,-1.16812,-1.16812,-1.16812,-1.16812,-1.16812
GWP_100_AR5_CO2,North America,Deforestation,131.3049907,131.3589846,131.4205597,131.3493906,131.3868541,131.3882355,131.405201,131.4572852,131.590867,131.6859543,131.9067088,132.1111698,132.2736329,132.5701581,132.8144576,133.141533,133.4789301,133.8083394,134.0689449,134.2641415,134.4663954,134.8018048,135.1380803,135.6062582,136.1822077,136.5559311,136.8421678,137.0384854,137.0653868,137.0575385,137.079997,139.1128518,139.1128518
GWP_100_AR5_CH4,North America,Fires,34.97647502,36.35002042,24.1736662,29.69061958,58.42376661,58.42376661,20.87353085,15.51601468,74.31722159,33.03400073,30.51755684,18.60947645,31.58535035,32.54822295,19.38073025,20.6688144,20.19387371,50.54868619,12.88265605,10.83027883,13.02460364,41.14085527,29.09921718,36.36025552,27.36981214,32.54802808,20.84217363,29.83154362,18.60411733,19.22372913,11.79828602,40.18780897,17.98617912
GWP_100_AR5_CO2,North America,Fires,195.1166719,210.3016876,126.6605559,149.2948795,285.8042889,285.8042889,126.9376175,84.46451772,327.8301079,135.3045329,149.15986,89.97811916,79.08091643,100.8672361,72.1329305,74.96986279,47.89649616,62.02040807,47.10981976,33.39052905,44.83086801,58.61221627,78.8858286,115.7876803,77.31921755,136.822934,59.36951706,92.58695854,105.4284652,72.71783104,89.3501821,178.6750879,70.16766533
GWP_100_AR5_N2O,North America,Fires,7.695243465,8.174298562,5.445953872,6.136379725,8.991364267,8.991364267,5.407369578,3.635116971,9.817345184,6.488683804,6.924602532,3.583824795,1.990826282,2.328849078,2.508559473,2.315589168,2.301906026,2.277910927,2.131516811,1.605372477,1.973191391,2.642859123,2.327619449,2.632882685,2.336839507,4.157809111,1.659371087,3.726877959,4.550418932,2.282545945,4.322026333,5.530961654,2.614032363
GWP_100_AR5_CO2,North America,Forest Land,-1551.4165,-1586.489109,-1584.07996,-1596.858101,-1578.162124,-1574.009072,-1590.229787,-1582.357793,-1593.950335,-1563.949893,-1556.959933,-1636.785397,-1620.825091,-1658.602383,-1582.585011,-1582.70901,-1642.55902,-1746.14881,-1981.550506,-2127.344127,-1982.121357,-1924.141132,-1935.951604,-1905.234817,-1896.341858,-1891.737865,-1925.087415,-1914.249732,-1848.462664,-1867.166858,-1930.160262,-1878.40578,-1909.50196
GWP_100_AR5_CO2,North America,Organic Soil,40.04589007,40.04589007,40.04589007,40.04589007,40.04589007,40.04589007,40.04589007,40.04589007,40.04589007,40.04589007,40.04589007,46.41877488,46.39089386,46.00818752,45.82444408,45.52918148,45.3314758,44.50573363,44.33197549,44.07897627,44.23961532,44.3101124,44.38733199,43.57328258,42.12152953,45.58968162,44.70391498,46.1539937,47.17589982,43.81177996,43.81177996,43.81177996,43.81177996
GWP_100_AR5_CO2,North America,Other Land,-365.6374031,-372.9163978,-363.4261565,-342.2050742,-378.8310317,-348.3352017,-373.7539804,-363.2941228,-366.4940925,-387.0919025,-384.3428674,-412.3173165,-386.1254406,-428.2019783,-365.3386442,-414.7295187,-437.9727532,-360.1576192,-295.4642183,-274.5362037,-312.2925838,-325.9612116,-330.1052577,-299.7431451,-329.4110892,-241.1514516,-348.0321576,-346.3073672,-329.047483,-282.5701175,-363.1772321,-346.6346049,-346.6346049
GWP_100_AR5_CO2,South-East Asia and developing Pacific,Deforestation,982.297593,982.297593,982.297593,982.297593,982.297593,982.297593,982.297593,982.297593,982.297593,982.297593,982.297593,383.311205,412.163966,383.554429,514.057248,479.076278,497.4333247,555.8361823,537.774293,617.7191337,391.4923113,409.22986,487.089735,621.098775,455.211458,957.652171,628.221266,643.610124,753.924124,616.371124,616.371124,616.371124,616.371124
GWP_100_AR5_CH4,South-East Asia and developing Pacific,Fires,66.18033708,119.2764725,118.5009708,114.5712003,69.57618833,69.57618833,78.97294728,45.16552098,104.7378605,105.1543057,117.1589869,72.74072564,186.4108608,87.98395324,219.8005152,111.2020343,234.298883,72.91295963,41.41729705,168.4621709,58.33472628,95.37571327,104.6743411,94.28734427,215.9412423,222.0738342,55.18366477,37.78396432,92.27843754,181.1581212,55.70692119,37.40969173,21.05466832
GWP_100_AR5_CO2,South-East Asia and developing Pacific,Fires,1.007512141,3.871683648,3.656364003,7.643701375,2.637067825,2.637067825,3.122929294,1.739768861,3.202130246,3.711771352,6.110620593,2.180732983,4.076609975,5.792473568,8.737733982,5.536586606,4.79263377,7.40891045,1.160196309,7.006742273,7.528978458,2.240141563,5.138937466,7.738348392,4.755430563,7.265270648,4.552103364,1.17327994,1.691586153,4.89733841,3.18226033,3.95067279,2.457378849
GWP_100_AR5_N2O,South-East Asia and developing Pacific,Fires,10.89433531,15.75563295,14.4829893,15.3174063,14.41662067,14.41662067,15.05036233,11.09051332,14.38361676,10.03183798,12.01251836,10.84426575,8.495626346,12.18397899,20.73302898,11.22732284,12.24324391,17.45259319,9.327385909,14.26856527,14.1097735,9.406647671,12.0252911,9.902517383,12.94155592,15.05591304,9.480678126,9.420723638,8.187250027,10.86056508,12.29076095,9.833195265,5.893661488
GWP_100_AR5_CO2,South-East Asia and developing Pacific,Forest Land,799.0438563,794.1467107,736.9171014,694.5362855,659.7807513,645.566998,635.6848999,617.2709809,630.6830283,620.0867013,555.0204472,585.0304785,615.3268287,619.8007608,605.5204898,573.243217,592.9854113,615.5988758,518.3350176,569.4625609,614.442649,616.4934359,674.123417,677.3215801,638.1339519,575.6591715,594.5054167,641.8859421,645.7450677,652.0454075,654.8180325,654.8187913,658.4692594
GWP_100_AR5_CO2,South-East Asia and developing Pacific,Organic Soil,309.14067,309.14067,309.14067,309.14067,309.14067,309.14067,309.14067,309.14067,309.14067,309.14067,309.14067,374.34567,563.26067,381.15767,608.85467,655.33167,1354.489592,440.316514,380.880436,657.188358,413.64128,469.49928,737.76828,483.43328,974.15228,1200.64128,475.17528,397.64928,508.64128,856.32428,856.32428,856.32428,856.32428
GWP_100_AR5_CO2,South-East Asia and developing Pacific,Other Land,216.9145055,216.9145055,216.9145055,216.9145055,216.9145055,216.9145055,216.9145055,1686.45996,757.45996,676.45996,-41.18004,-43.401412,-43.343784,-43.429156,-43.311528,-43.1209,-42.6829,-41.6889,-40.6309,-39.3529,-39.13245,-38.59088,-37.73877,-36.22448,-34.68421,-31.16714,-22.62483,-15.30913,-15.82813,-10.99513,-10.99513,-10.99513,-10.99513
